participantId,familiarity_raw,evaluation_raw,university,familiarity_num,participant_mean_rating,evaluation_centered,heard_binary
4F9F4E86E246433F89623B433B1AB8B8,"I have heard of it, but I am not familiar with it",88,Karlsruhe Institute of Technology,0.33,79.05,8.950000000000003,Heard
204B41ECB5F84D2C8812CCA7C0ABD0ED,I have never heard of this university,50,Karlsruhe Institute of Technology,0.0,51.7,-1.7000000000000028,Never heard
1B7CB68BEA6643B4B5C93CAAC59B1B85,I have never heard of this university,50,Karlsruhe Institute of Technology,0.0,11.2,38.8,Never heard
DD2206E20B5F43EBB14E45E033A403E9,"I have heard of it, but I am not familiar with it",29,Karlsruhe Institute of Technology,0.33,29.35,-0.3500000000000014,Heard
4262AFB86C594D08B28F0F91D674E4EB,I have never heard of this university,29,Karlsruhe Institute of Technology,0.0,42.55,-13.549999999999997,Never heard
A55A273E95E740CF987A0746A8D05865,I have never heard of this university,63,Karlsruhe Institute of Technology,0.0,59.9,3.1000000000000014,Never heard
BA46C89FF6D74BBD8CBE20E7D403DFC1,I have never heard of this university,0,Lund University,0.0,10.3,-10.3,Never heard
DDF654B04475461CAA83D9BFD3636F52,I have never heard of this university,66,Lund University,0.0,43.85,22.15,Never heard
8C7EAE2BB6894644BB2220D74032427A,I have never heard of this university,78,Lund University,0.0,71.15,6.849999999999994,Never heard
0DD374C49EDD48B0A934A11EB3F114A0,I have never heard of this university,70,Lund University,0.0,68.4,1.5999999999999943,Never heard
A53D15311E1A4E7BB8D9FDD5135514FC,I have never heard of this university,5,Lund University,0.0,35.8,-30.799999999999997,Never heard
